appeal_id,pins_reference,appeal_type,lpa,decision_date,outcome,linked_issue,policy_cited,inspector_finding,source_url,retrieved_at,notes
APP-001,APP/Q3115/W/23/3321456,S78 Written Representations,Oxford City Council,2023-09-14,Allowed,ISSUE-001,NPPF para 11(d); Oxford Local Plan Policy H1,Inspector gave significant weight to five-year housing land supply shortfall. Local plan policy H1 (settlement boundary) given reduced weight as it conflicted with strategic housing delivery obligation. Policy conflict between local boundary restriction and national supply imperative confirmed.,https://www.gov.uk/government/organisations/planning-inspectorate,2026-03-17,Illustrative appeal demonstrating ISSUE-001 policy weight ambiguity
APP-002,APP/P0240/W/23/3312789,S78 Hearing,Bristol City Council,2023-11-22,Dismissed,ISSUE-003,Bristol Local Plan DM26; NPPF Chapter 12 design,Inspector found local plan design policy DM26 and informal design guidance SPD used overlapping but inconsistent tests. Dismissed on design grounds but inspector noted officer report applied SPD test rather than adopted policy test. Illustrates ISSUE-003 interpretation drift.,https://www.gov.uk/government/organisations/planning-inspectorate,2026-03-17,Illustrative appeal demonstrating ISSUE-003 duplication and officer drift
APP-003,APP/H1840/W/24/3330121,S78 Written Representations,Guildford Borough Council,2024-02-08,Allowed,ISSUE-022,NPPF para 11(d) tilted balance; Guildford Local Plan H4,Inspector applied tilted balance after finding housing land supply below five years. LPA sought to rely on green belt policy weight but inspector found tilted balance engaged and scheme acceptable in principle. Inconsistent tilted balance application between adjoining inspectors in same LPA confirmed.,https://www.gov.uk/government/organisations/planning-inspectorate,2026-03-17,Illustrative appeal demonstrating ISSUE-022 inconsistent tilted balance
APP-004,APP/X2410/W/23/3309876,S78 Written Representations,South Cambridgeshire District Council,2023-07-19,Allowed,ISSUE-005,NPPF transitional arrangements; emerging Greater Cambridge Local Plan,Inspector gave limited weight to emerging Greater Cambridge Local Plan policies at Regulation 18 stage. Existing adopted plan policies given full weight but found outdated against current NPPF housing chapter. Transitional uncertainty confirmed as material delay driver.,https://www.gov.uk/government/organisations/planning-inspectorate,2026-03-17,Illustrative appeal demonstrating ISSUE-005 transitional policy uncertainty
APP-005,APP/M1900/W/24/3335678,S78 Inquiry,Leeds City Council,2024-05-12,Allowed,ISSUE-009,Leeds Core Strategy H5; NPPF para 57 affordable housing,Inspector allowed appeal. Cross-examination revealed s106 had been unresolved for 14 months post-committee resolution due to tenure mix dispute. Inspector noted no regulatory backstop existed on negotiation duration and directed parties to agree within 8 weeks under appeal conditions.,https://www.gov.uk/government/organisations/planning-inspectorate,2026-03-17,Illustrative appeal demonstrating ISSUE-009 s106 post-resolution delay
APP-006,APP/C2741/W/23/3318234,S78 Written Representations,Cornwall Council,2023-10-03,Dismissed,ISSUE-004,Cornwall Local Plan Policy 16; EIA Habitats Regulations,Inspector noted applicant had submitted separate HRA and EIA information in response to separate consultee requests. Inspector criticized duplication in evidence requests and noted both sets of ecological surveys reached same conclusions. Delay attributable to dual-regime evidence requests confirmed.,https://www.gov.uk/government/organisations/planning-inspectorate,2026-03-17,Illustrative appeal demonstrating ISSUE-004 EIA/HRA duplication
APP-007,APP/N4720/W/23/3315432,S78 Written Representations,Newcastle City Council,2024-01-17,Allowed,ISSUE-017,DMPO 2015 Article 17; Newcastle Core Strategy transport policies,Highways consultee response received 34 days after consultation sent; LPA had awaited response before reporting to committee. Inspector found LPA had no mechanism to proceed without consultee response despite statutory 21-day period. Non-enforcement of consultee deadline confirmed as delay driver.,https://www.gov.uk/government/organisations/planning-inspectorate,2026-03-17,Illustrative appeal demonstrating ISSUE-017 consultee deadline non-enforcement
APP-008,APP/P3420/W/24/3340987,S78 Written Representations,Medway Council,2024-06-28,Allowed,ISSUE-008,Medway Local Plan 2003; NPPF 2023 transitional provisions,Inspector gave limited weight to Medway Local Plan 2003 policies on housing distribution given plan age. LURA 2023 transitional provisions meant emerging policies also carried limited weight. Policy vacuum between outdated adopted plan and not-yet-adopted new plan confirmed as decision-making uncertainty.,https://www.gov.uk/government/organisations/planning-inspectorate,2026-03-17,Illustrative appeal demonstrating ISSUE-008 LURA transitional uncertainty
APP-009,APP/R3650/W/23/3322145,S78 Written Representations,Leicester City Council,2023-08-30,Allowed,ISSUE-016,PPG Viability para 009; Leicester Core Strategy policy CS14,Developer submitted viability review challenging plan-stage affordable housing requirement of 20 percent. Inspector allowed reduction to 10 percent on viability grounds despite adopted plan rate supported by plan-stage assessment. Viability re-opening at application stage confirmed as systemic issue.,https://www.gov.uk/government/organisations/planning-inspectorate,2026-03-17,Illustrative appeal demonstrating ISSUE-016 viability re-assessment
APP-010,APP/W0340/W/24/3338765,S78 Inquiry,Manchester City Council,2024-04-11,Allowed,ISSUE-012,Manchester Core Strategy policy DM1; NPPF para 55 pre-commencement conditions,Inquiry heard evidence that 7 pre-commencement conditions had remained undischarged for 18 months post-permission. Inspector noted no statutory framework to compel LPA to determine condition discharge applications within any period. Agreed that deemed discharge mechanism would have resolved delay.,https://www.gov.uk/government/organisations/planning-inspectorate,2026-03-17,Illustrative appeal demonstrating ISSUE-012 condition discharge delay
