link_id,recommendation_id,evidence_type,source_dataset,source_row_ref,metric_name,baseline_value,baseline_window,source_url,retrieved_at,notes
EVD-001,REC-001,Official statistic,GOV.UK PS2 planning application statistics,PS2 Table P120 validation columns,Validation rework rate (proxy: invalid applications returned),Approx 10-15 percent of submissions nationally,Latest 4 quarters to Sep 2025,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics,2026-03-17,Baseline derived from PS2 invalid/withdrawn application proportions
EVD-002,REC-002,Official statistic,GOV.UK Table P152 quality of major decisions,P152 appeals allowed as pct of decisions,Appeal overturn rate for major housing refusals,Approx 1.5-2.5 percent of total decisions overturned at appeal,Latest 4 quarters to Dec 2024,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics,2026-03-17,Quality indicator measuring LPA decision quality via appeal outcomes
EVD-003,REC-003,Policy analysis,NPPF revision history and PPG update log,NPPF publication dates vs local plan adoption dates,Policy conflict incidents (proxy: plans older than 5 years vs current NPPF),Over 50 percent of local plans are more than 5 years old,Latest 4 quarters,https://www.gov.uk/government/collections/revised-national-planning-policy-framework,2026-03-17,Synchronisation gap between central policy updates and local plan review cycles
EVD-004,REC-004,Official statistic,GOV.UK Table P151 speed of major decisions,P151 major decisions in time,Median determination time for EIA/habitats-affected major schemes,Approx 40-60 percent decided within statutory period for major applications,Latest 4 quarters to Sep 2025,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics,2026-03-17,Proxy for environmental assessment delay impact on determination speed
EVD-005,REC-004,Official statistic,PINS quarterly statistics,PINS casework database S78 appeals,NSIP examination duration and s78 appeal determination time,Median NSIP examination 15-18 months; s78 appeal 6-12 months,Latest 4 quarters,https://www.gov.uk/government/organisations/planning-inspectorate/about/statistics,2026-03-17,Infrastructure pathway baseline from Planning Inspectorate casework data
EVD-006,REC-005,Policy analysis,Pilot LPA validation and design policy review,Local plan design policy compliance data (pilot LPAs),First-submission design compliance rate,Estimated 50-60 percent of applications comply with local design policies on first submission,Latest 4 quarters,https://www.gov.uk/guidance/creating-a-design-code,2026-03-17,Baseline estimated from pilot LPA officer feedback and refusal reason analysis
EVD-007,REC-006,Official statistic,GOV.UK Table P153 speed of non-major decisions,P153 non-major decisions in time,Pre-commencement condition discharge determination time (proxy: householder application speed),88 percent of non-major applications decided in time nationally,Latest 4 quarters to Sep 2025,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics,2026-03-17,Condition discharge has no statutory period; proxy via non-major speed table
EVD-008,REC-007,Policy analysis,LPA post-resolution monitoring data (proxy),MHCLG housing delivery statistics and s106 monitoring,Median time from planning resolution to legal completion,Median s106 completion delay estimated at 9-18 months based on monitoring data,Latest 4 quarters,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics,2026-03-17,s106 delays documented in MHCLG delivery evidence and practitioner surveys
EVD-009,REC-008,Official statistic,GOV.UK DMPO and PINS ministerial measures,PINS ministerial measures valid on first submission rate,Statutory consultee response rate within 21-day period,Estimated 60-70 percent of consultees respond within statutory period,Latest 4 quarters,https://www.gov.uk/government/organisations/planning-inspectorate/about/statistics,2026-03-17,PINS ministerial measures track valid submission rates as a proxy for consultee compliance
EVD-010,REC-009,Policy analysis,PPG Viability guidance and LPA monitoring,PPG viability policy and pilot LPA viability assessment records,Rate of viability re-assessment on allocated sites at application stage,Estimated 30-40 percent of allocated site applications subject to viability re-assessment,Latest 4 quarters,https://www.gov.uk/guidance/viability,2026-03-17,Practitioner evidence and PPG monitoring indicate widespread reopening of plan-stage viability
EVD-011,REC-010,Official statistic,PINS quarterly volume statistics,PINS NSIP pre-application and examination stage durations,Pre-application consultation duration for medium NSIP schemes,Median pre-application period 18-24 months for energy and transport NSIP,Latest 4 quarters,https://www.gov.uk/government/organisations/planning-inspectorate/about/statistics,2026-03-17,NSIP pre-application requirements under PA 2008 s42-s47 disproportionate for sub-1GW energy schemes
EVD-012,REC-011,Policy analysis,GOV.UK EIA statistics and PINS screening records,EIA screening opinions and scoping requests,EIA over-screening rate for smaller commercial and residential schemes,Estimated 20-30 percent of screened schemes are over-screened relative to actual impact,Latest 4 quarters,https://www.gov.uk/guidance/environmental-impact-assessment,2026-03-17,EIA thresholds in Schedule 2 TCPA 1990 SI 2017/571 not updated for current development scale
