recommendation_id,priority,time_horizon,policy_goal,delivery_owner,implementation_vehicle,linked_issues,title,kpi_primary,target,verification_state,confidence
REC-001,High,0-12 months,Speed,MHCLG,Guidance update,ISSUE-002|ISSUE-006,National standard validation checklist for major and minor applications,Validation rework rate,Reduce by 30 percent in pilot LPAs,draft,high
REC-002,High,12-24 months,Consistency,MHCLG,SI amendment,ISSUE-001|ISSUE-022,Clarify precedence rules where local criteria conflict with strategic housing delivery,Appeal overturn rate in housing refusals,Reduce by 20 percent,draft,medium
REC-003,Medium,0-12 months,Coordination,MHCLG and LPAs,Guidance update,ISSUE-005|ISSUE-008,Synchronized annual policy update windows for central and local plans,Policy conflict incidents logged per quarter,Reduce by 40 percent,draft,medium
REC-004,High,12-24 months,Restriction Reduction,MHCLG and DESNZ,Primary legislation,ISSUE-004|ISSUE-011,Single coordinated evidence gateway for EIA and habitats requirements,Median determination time for affected schemes,Reduce by 25 percent,draft,medium
REC-005,High,0-12 months,Baseline Certainty,LPAs,Plan revision,ISSUE-003|ISSUE-013,Baseline local-fit design and transport code with measurable compliance checklist,First submission policy compliance rate,Increase to 75 percent,draft,medium
REC-006,High,0-12 months,Speed,MHCLG,SI amendment,ISSUE-012|ISSUE-020,Statutory 8-week determination period for pre-commencement condition discharge applications,Median condition discharge time,Reduce from current average to under 8 weeks,draft,high
REC-007,High,12-24 months,Speed,MHCLG and LPAs,Guidance update and SI amendment,ISSUE-009|ISSUE-019,Standard s106 heads of terms and model clauses to reduce post-resolution negotiation delay,Median time from resolution to legal completion,Reduce from 12 months to under 6 months,draft,high
REC-008,Medium,0-12 months,Coordination,MHCLG and statutory consultees,Guidance update,ISSUE-010|ISSUE-017,Binding consultee response deadline with deemed no-objection after 21 days for non-complex applications,Consultee response rate within statutory period,Increase to 90 percent,draft,medium
REC-009,High,0-12 months,Consistency,MHCLG,Guidance update,ISSUE-016,Viability assessment lock-in at plan adoption stage for allocated sites with prescribed review triggers only,Viability re-assessment rate at application stage,Reduce by 50 percent on allocated sites,draft,medium
REC-010,High,12-24 months,Speed,PINS and MHCLG,Primary legislation,ISSUE-018|ISSUE-021,Tiered NSIP pre-application process with reduced mandatory consultation for sub-threshold infrastructure,NSIP pre-application duration for medium schemes,Reduce from 24 months to under 12 months,draft,medium
REC-011,High,24+ months,Restriction Reduction,MHCLG,Primary legislation,ISSUE-014|ISSUE-015,Updated EIA screening thresholds reflecting current development typologies and mandatory cumulative impact gateway,Over-screening rate for smaller schemes,Reduce by 40 percent,draft,low
